numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,qhull
33M,1.072156978,0.836765548,0.928253144,0.936466518,0.512046794,0.19428808
67M,1.095188158,0.850790189,0.951211806,0.925768579,0.516246293,0.187736829
100M,1.076550225,0.832708979,0.940080331,0.930790121,0.51880948,0.202414827
134M,1.078811076,0.846238777,0.94924631,0.926339255,0.521304733,0.200378124
167M,1.098711491,0.833437647,0.940255412,0.919899785,0.526969518,0.203786015
201M,1.083712231,0.839153117,0.94012039,0.923681956,0.522091987,0.202401315
234M,1.077994569,0.835549924,0.944500438,0.929286271,0.522157145,0.198729599
268M,1.079146531,0.848094644,0.95559627,0.937674309,0.531209347,
301M,1.091101817,0.827170321,0.931683514,0.91485288,0.528705159,
335M,1.092387096,0.823975946,0.953960831,0.924065898,0.540821029,
369M,1.08829943,0.813177772,0.937767783,0.900598498,0.529945937,
402M,1.105293309,0.822748142,0.949554261,0.912903702,0.538762359,
436M,1.105361352,0.839422127,0.964508578,0.945543895,0.544443439,
469M,1.088789388,0.83989595,0.973149652,0.949518003,0.544040544,
503M,1.06197705,0.834886189,0.970969091,0.954906155,0.531851051,
536M,1.081738436,0.849035361,0.936270461,0.904935245,0.5330906,
570M,1.093983734,0.831239278,0.940436695,0.927773546,0.530262852,
603M,1.096300155,0.830487715,0.934965478,0.927065902,0.531948469,
637M,1.087050968,0.813271975,0.953591674,0.903326469,0.527847327,
671M,1.086042992,0.844524817,0.953488856,0.935676835,0.524751346,
704M,1.074633108,0.83680314,0.953614869,0.936135655,0.523851534,
738M,1.080963407,0.846536778,0.953522913,0.939988985,0.524291053,
771M,1.074954451,0.839116915,0.958546863,0.937559469,0.52618553,
805M,1.072605077,0.840881995,0.949276609,0.937232499,0.523987841,
838M,1.056060002,0.836025385,0.952667677,0.936859877,0.526307653,
872M,1.059708973,0.844917724,0.95785708,0.946845307,0.527125653,
905M,1.054949165,0.840310786,0.95577058,0.941727502,0.527173206,
939M,1.064124502,0.840916677,0.952774522,0.921034255,0.524321927,
973M,1.090663316,0.872768123,0.99810835,0.970898836,0.556925377,
1006M,1.057132841,0.847908754,0.960456492,0.943748492,0.539655891,
1040M,1.072058919,0.846064053,0.957683105,0.934635158,0.543882384,
1073M,1.095984884,0.870462798,0.975740099,0.959535951,,
