numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,cudachain,qhull
33M,0.15399245,1.429715007,7.807824125,13.43659013,9.440486935,8.396565524,0.317513836
67M,0.142901283,1.389832883,7.879460494,15.42001522,9.116404563,8.341371702,0.320859729
100M,0.151044807,1.406049792,7.797268726,18.2596401,9.720237548,9.280189507,0.348579038
134M,0.149309183,1.515398145,8.90294116,17.80921994,9.888856824,9.108669279,0.333048975
167M,0.148330283,1.475484333,9.095126473,19.53372493,9.868622867,9.082914506,0.350915892
201M,0.167507786,1.565778068,10.19821794,21.52576619,10.50040695,10.238367,0.418588261
234M,0.165129738,1.447189406,9.853707985,20.97694088,9.87700352,10.14973191,0.413758958
268M,0.162856823,1.559711787,9.895882689,21.52000737,10.36961566,10.71892326,
301M,0.161283895,1.459761326,10.03390565,21.22024008,9.937510023,9.974538941,
335M,0.157451728,1.526353773,9.707245058,21.25569643,10.21374239,9.759910535,
369M,0.163680527,1.494050386,10.11685555,22.44074574,10.1247839,10.32330003,
402M,0.154632757,1.41456399,9.872009815,20.83158901,9.604153687,10.02372818,
436M,0.158025945,1.237814791,9.844468328,20.18162003,8.791687742,10.34360277,
469M,0.157886254,1.321869565,9.858207336,21.95544218,9.253273655,10.17635444,
503M,0.15845721,1.25239976,10.08779295,21.46121113,8.786938996,10.12205596,
536M,0.156712378,1.325196776,9.89325211,22.16406497,9.242768772,10.33683962,
570M,0.156040185,1.257724006,10.13319549,22.69648281,8.934868736,10.51265271,
603M,0.154371914,1.315822603,10.10463251,21.65283251,9.161113248,10.37299431,
637M,0.126994967,1.385393254,8.046229268,18.01044365,9.074252259,8.379537113,
671M,0.125591753,1.460169949,8.329773024,17.7936823,9.389977266,8.250443876,
704M,0.126404064,1.384579852,8.075664832,17.43825971,9.051662201,8.192618129,
738M,0.126024062,1.466784461,8.112122363,18.27435479,9.552902965,8.096931786,
771M,0.129736004,1.447229764,9.005246454,20.25109986,9.452518212,8.615184172,
805M,0.124214508,1.426579085,8.414259075,18.34863714,9.147875064,8.12059437,
838M,0.120656829,1.343168707,8.154196005,18.08808906,8.812769876,7.934292906,
872M,0.121895646,1.435214361,8.430248609,19.40884154,9.340152405,8.020298236,
905M,0.121313818,1.360273265,8.330348856,18.98160851,8.879941458,8.045113374,
939M,0.121370748,1.432021448,8.309466463,17.85474092,9.199420093,8.142094955,
973M,0.141540994,1.303449487,9.675410845,19.61267955,9.05998319,9.432410471,
1006M,0.142025597,1.394908561,9.860031483,20.34204392,9.405431327,9.667245372,
1040M,0.139250572,1.295392124,8.688701443,22.17403132,8.913779782,9.366127285,
1073M,0.143017219,1.401059632,10.13472516,22.05718738,9.56197358,9.650934263,
