numero,cpu_manhattan,gpu_scan,cub_flagged,thrust_scan,thrust_copy,omp_euclidean,omp_manhattan
33M,1.179332695,13.0411811,13.56137652,12.46948826,5.184342838,0.201196276,0.201854154
67M,1.213916677,13.08432703,13.80336158,13.48555259,5.148088179,0.196937663,0.197019184
100M,1.184184442,13.74537244,14.36091403,14.26959177,5.357279094,0.202988424,0.20232416
134M,1.212447871,13.19280976,13.62583359,12.87753935,5.3210987,0.198238225,0.197203811
167M,1.181876154,13.02298747,13.26133247,13.43892296,5.462967097,0.202853053,0.201647885
201M,1.2121803,12.43211927,12.46958224,12.55180854,5.197753222,0.197932743,0.196127986
234M,1.182839124,12.79516544,13.29959755,13.66036517,5.388468386,0.203823613,0.203062603
268M,1.213762285,12.21143032,13.1190099,12.5951684,5.139468026,0.197309393,0.196315989
301M,1.18910554,13.34571961,11.89085012,11.76389027,4.046206745,0.204618869,0.203956311
335M,1.208641631,11.78667567,10.89765721,10.34683876,3.75088461,0.200458255,0.199913285
369M,1.173926824,12.79565795,12.62471705,11.30651863,4.653247874,0.204678959,0.203672377
402M,1.213914144,12.99972736,11.78512882,10.98188926,4.151203762,0.199961467,0.196099334
436M,1.181725474,12.46954751,13.4534784,13.7194905,4.39645063,0.205655032,0.205470514
469M,1.211803344,12.68654906,13.02475867,13.16330826,4.580005924,0.200014545,0.199480951
503M,1.188526798,12.98848311,13.28725353,13.59250708,4.681019347,0.204898073,0.204187606
536M,1.212895384,12.83586743,13.58601037,10.9573924,3.621923235,0.199462202,0.199567962
570M,1.176762427,13.58593969,11.74682209,10.86639071,4.449953783,0.205508282,0.206071584
603M,1.219533624,13.26579229,13.70982592,13.14204003,4.337378113,0.20273755,0.201348885
637M,1.183026025,13.329145,13.65376986,13.93881437,5.177809196,0.20721267,0.206285112
671M,1.213973257,12.43764317,12.92193483,13.29425981,3.713465821,0.202256984,0.200578849
704M,1.186784583,10.68676033,11.09087987,11.0350674,3.795858352,0.20852416,0.203451529
738M,1.206576341,13.00031932,13.10894084,13.08680575,3.780455639,0.201927469,0.200834848
771M,1.184540794,12.74801286,11.91313303,11.15806564,3.927002588,0.209430501,0.209596522
805M,1.208144536,12.97469775,12.79750912,11.139187,3.692921305,0.201872107,0.201329734
838M,1.176298224,12.6996812,13.27225251,13.72522484,4.932721248,0.205805821,0.205446529
872M,1.213735252,12.75895078,13.25788685,13.43761418,4.05696914,0.202934829,0.202343888
905M,1.181275191,13.36139413,13.59278718,12.51839823,4.107098496,0.209685423,0.208706887
939M,1.21983406,12.71466731,13.14873791,12.86667738,3.94971691,0.203549079,0.203155859
973M,1.187647633,13.5743729,13.88832372,13.24128081,4.612678076,0.209083528,0.2096398
1006M,1.214906264,13.25721091,13.69029651,13.99315948,3.843878781,0.202488687,0.200898077
1040M,1.182614691,13.08483399,12.69864262,11.52643669,3.8912921,0.207103658,0.206727475
1073M,1.211467483,12.48647591,12.82202375,13.67119775,5.037811581,0.200672414,0.200323558
