numero,cpu_manhattan,gpu_scan,cub_flagged,thrust_scan,thrust_copy,omp_euclidean,omp_manhattan
33M,1.114491911,8.103145384,8.19465706,8.251686127,14.15454911,7.273520825,7.212429732
67M,1.10988873,7.783848744,7.981365484,7.91592617,15.02950966,6.35460884,6.355418305
100M,1.118017082,7.999903366,8.06180731,8.308313564,15.65300345,9.004381837,8.762878908
134M,1.116366473,7.7552884,7.885090926,8.12763395,15.14395458,6.892058603,6.90295729
167M,1.110302868,8.041277589,8.41439882,8.62275631,16.39031984,7.354771867,7.145349465
201M,1.105672574,7.673489971,7.902763388,8.20293931,15.41668167,7.664281482,7.601700277
234M,1.114603325,8.010577805,8.347806785,8.56605609,16.27906378,7.806858003,7.75937
268M,1.11149334,7.872553629,8.038513804,8.279221812,15.95541693,8.891514965,8.911538844
301M,1.111740387,8.128806715,8.34734146,8.450177236,16.25200759,7.728039277,7.587543326
335M,1.109278983,7.821887058,7.898143394,8.302664709,16.3160061,6.688303799,6.770066995
369M,1.115346289,8.252015094,8.158147121,8.657888873,16.70609439,8.010727436,7.80176708
402M,1.109673196,7.707091612,7.957949093,8.103208704,15.86753307,7.394294807,7.378836262
436M,1.118495889,8.258774551,8.374896351,8.673188094,17.41930999,6.902919741,6.914572635
469M,1.103205995,7.700262841,7.900328303,8.102770958,15.54561815,6.529763314,6.496442791
503M,1.118905526,8.26311576,8.453515669,8.698066849,17.47550919,6.457957527,6.499233131
536M,1.10197853,7.708200178,7.95518806,8.062789023,15.79942571,8.933759512,8.681074105
570M,1.117692329,8.247769846,8.458506184,8.629355381,17.31939578,6.72384688,6.817147276
603M,1.114150936,7.672716311,7.930813755,8.231692001,16.34337496,6.794278606,6.890963334
637M,1.10529726,8.055736413,8.243942362,8.47162312,16.16658976,6.594565602,6.502812099
671M,1.108515715,7.777111808,7.965755968,8.17975625,16.58190026,7.320950763,7.386397158
704M,1.11816022,8.191469518,8.378466603,8.57411003,17.5034672,7.246359632,7.13879971
738M,1.112220561,7.743109616,7.92808935,8.154785046,16.56366309,7.959268657,8.035565317
771M,1.112483538,8.123816406,8.327382905,8.554752006,16.34068842,8.024565752,8.063603097
805M,1.101285225,7.697559401,7.93662806,8.129453786,16.25247968,7.74495805,7.801219958
838M,1.109590444,8.127163967,8.348915842,8.559661313,17.38865346,7.504561598,7.365776115
872M,1.106904612,7.747531531,7.673963608,8.129049564,16.5989088,8.009124072,7.989979155
905M,1.120133205,8.181684293,8.349322362,8.623679744,17.55890378,6.844563294,6.814340271
939M,1.105479966,7.808173891,7.931981558,8.200555973,16.24984866,8.885308974,8.802448874
973M,1.116765451,8.147785606,8.357250327,8.540845356,17.20435087,7.240285512,7.187629726
1006M,1.101946035,7.685616574,7.899015242,7.940546023,16.44075846,7.445286751,7.537003642
1040M,1.11305347,8.139859503,8.324205275,8.58424816,17.22724625,6.985229886,6.992545122
1073M,1.108379104,7.706971259,7.906957088,8.119598609,16.61173236,6.486096197,6.537723196
